feature,importance
log-sigma-4-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis_spleen,0.00839514348785867
wavelet-HLL_glcm_Correlation_spleen,0.00791832229580569
wavelet-HHH_gldm_SmallDependenceHighGrayLevelEmphasis_liver,0.007682119205297964
log-sigma-2-0-mm-3D_firstorder_Median_liver,0.00740838852097126
wavelet-HHH_gldm_DependenceNonUniformityNormalized_liver,0.006690949227373021
log-sigma-4-0-mm-3D_glrlm_HighGrayLevelRunEmphasis_spleen,0.006207505518763761
log-sigma-1-0-mm-3D_glcm_ClusterProminence_spleen,0.006198675496688705
log-sigma-4-0-mm-3D_firstorder_Maximum_liver,0.006165562913907246
original_glszm_ZoneEntropy_spleen,0.005814569536423808
log-sigma-3-0-mm-3D_firstorder_Median_liver,0.005735099337748312
original_glszm_GrayLevelNonUniformityNormalized_spleen,0.00567328918322293
wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis_spleen,0.005558498896247214
log-sigma-2-0-mm-3D_glcm_InverseVariance_spleen,0.005514348785871934
log-sigma-4-0-mm-3D_glcm_Imc2_spleen,0.005498896247240593
log-sigma-2-0-mm-3D_glcm_DifferenceVariance_liver,0.005470198675496661
wavelet-LHL_firstorder_Kurtosis_liver,0.005392935982339928
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis_spleen,0.005289183222958033
wavelet-LLH_firstorder_Maximum_spleen,0.005181015452538606
log-sigma-1-0-mm-3D_glcm_ClusterProminence_liver,0.005057395143487836
wavelet-HLL_glcm_Imc2_spleen,0.005037527593818966
wavelet-HLH_glcm_Imc2_liver,0.004825607064017643
wavelet-HHH_glrlm_RunVariance_spleen,0.004799116997792476
log-sigma-1-0-mm-3D_firstorder_Minimum_spleen,0.0047152317880794535
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis_spleen,0.004677704194260467
log-sigma-2-0-mm-3D_glcm_DifferenceEntropy_liver,0.0046401766004414815
wavelet-LHH_gldm_DependenceVariance_spleen,0.004512141280353189
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformityNormalized_spleen,0.004476821192052963
log-sigma-2-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis_spleen,0.00442163355408388
log-sigma-1-0-mm-3D_glcm_InverseVariance_liver,0.00428035320088299
wavelet-HLH_firstorder_Median_liver,0.004225165562913898
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized_liver,0.004225165562913895
log-sigma-2-0-mm-3D_glcm_ClusterProminence_liver,0.004187637969094908
wavelet-HLH_firstorder_Minimum_spleen,0.004077262693156742
log-sigma-1-0-mm-3D_firstorder_10Percentile_spleen,0.003953642384105948
original_glszm_SmallAreaLowGrayLevelEmphasis_liver,0.00359381898454748
wavelet-LHL_gldm_LargeDependenceLowGrayLevelEmphasis_liver,0.0035916114790287158
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis_spleen,0.0035518763796909486
log-sigma-2-0-mm-3D_gldm_DependenceNonUniformityNormalized_spleen,0.0034988962472406195
log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis_spleen,0.00343267108167772
original_firstorder_Entropy_spleen,0.0033951434878587224
log-sigma-4-0-mm-3D_glcm_Idn_liver,0.0033399558498896226
log-sigma-5-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis_spleen,0.0032295805739514464
log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity_liver,0.0031103752759382057
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis_liver,0.0030993377483443853
wavelet-LLL_gldm_GrayLevelNonUniformity_liver,0.0030927152317880885
wavelet-LHL_firstorder_Mean_liver,0.0030573951434878636
wavelet-LLH_firstorder_Variance_liver,0.003046357615894041
wavelet-HLL_firstorder_Median_liver,0.0029801324503311412
wavelet-HHL_glcm_Imc2_spleen,0.0028543046357615916
log-sigma-1-0-mm-3D_firstorder_Mean_liver,0.0027858719646799215
log-sigma-3-0-mm-3D_firstorder_Maximum_spleen,0.002761589403973524
wavelet-LLH_glszm_SizeZoneNonUniformity_spleen,0.0026158940397350942
wavelet-LLH_glszm_ZonePercentage_liver,0.002509933774834443
wavelet-LHL_glszm_ZoneEntropy_spleen,0.0025033112582781517
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity_spleen,0.0023421633554083815
log-sigma-2-0-mm-3D_firstorder_Maximum_spleen,0.0022869757174393004
wavelet-HLL_glszm_ZoneEntropy_spleen,0.0022516556291390846
log-sigma-4-0-mm-3D_gldm_DependenceVariance_spleen,0.002205298013245044
wavelet-HHL_firstorder_Median_spleen,0.002165562913907296
wavelet-LLL_glcm_Idmn_spleen,0.0019801324503311334
log-sigma-3-0-mm-3D_glcm_Imc2_spleen,0.001916114790286965
wavelet-HLH_firstorder_Mean_liver,0.0019006622516556388
original_shape_SurfaceVolumeRatio_spleen,0.001640176600441495
wavelet-LLH_glszm_ZoneEntropy_spleen,0.0015916114790287055
log-sigma-5-0-mm-3D_firstorder_Skewness_liver,0.001529801324503319
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized_liver,0.001527593818984555
wavelet-HLH_glcm_Imc2_spleen,0.001368653421633561
wavelet-LHL_firstorder_Range_liver,0.0010860927152317936
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity_spleen,0.0010573951434878603
wavelet-HHL_firstorder_Mean_spleen,0.0010375275938189878
wavelet-LLH_glcm_DifferenceVariance_spleen,0.0010198675496688788
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis_spleen,0.0009359823399558546
wavelet-HLH_glcm_InverseVariance_liver,0.00080573951434879
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis_spleen,0.0007858719646799134
log-sigma-1-0-mm-3D_firstorder_Skewness_spleen,0.0006556291390728508
log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis_liver,-0.00020529801324503416
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity_liver,-0.0002450331125827827
wavelet-HHL_firstorder_Mean_liver,-0.0002958057395143503
wavelet-LLH_firstorder_Median_spleen,-0.0009845474613686585
wavelet-LHH_gldm_DependenceNonUniformity_spleen,-0.0012075055187638064
